fr,en,it,de,es,ko,kana
":[name=???]:Salut , et bienvenue sur Pokemon Secret",":[name=???]:Salut , et bienvenue sur Pokemon Secret",":[name=???]:Hello Maker, and welcome to the PokémonSDK Technical Demo!",":[name=???]:Hello Maker, and welcome to the PokémonSDK Technical Demo!",":[name=???]:Hello Maker, and welcome to the PokémonSDK Technical Demo!",":[name=???]:Hello Maker, and welcome to the PokémonSDK Technical Demo!",":[name=???]:Hello Maker, and welcome to the PokémonSDK Technical Demo!"
:[name=Chen]:Je suis Chen,":[name=SirMalo]:I am SirMalo,[WAIT 40] and here are my workmates Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] and Walven![WAIT 100]",":[name=SirMalo]:I am SirMalo,[WAIT 40] and here are my workmates Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] and Walven![WAIT 100]",":[name=SirMalo]:I am SirMalo,[WAIT 40] and here are my workmates Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] and Walven![WAIT 100]",":[name=SirMalo]:I am SirMalo,[WAIT 40] and here are my workmates Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] and Walven![WAIT 100]",":[name=SirMalo]:I am SirMalo,[WAIT 40] and here are my workmates Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] and Walven![WAIT 100]",":[name=SirMalo]:I am SirMalo,[WAIT 40] and here are my workmates Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] and Walven![WAIT 100]"
:[name=Chen]:Cette démo de Pokemon secret est fait par Babok et Rouskov4,:[name=SirMalo]:This technical demo is the result of our continued collaboration and shows how far we've come since the first release of PokémonSDK.,:[name=SirMalo]:This technical demo is the result of our continued collaboration and shows how far we've come since the first release of PokémonSDK.,:[name=SirMalo]:This technical demo is the result of our continued collaboration and shows how far we've come since the first release of PokémonSDK.,:[name=SirMalo]:This technical demo is the result of our continued collaboration and shows how far we've come since the first release of PokémonSDK.,:[name=SirMalo]:This technical demo is the result of our continued collaboration and shows how far we've come since the first release of PokémonSDK.,:[name=SirMalo]:This technical demo is the result of our continued collaboration and shows how far we've come since the first release of PokémonSDK.
:[name=Chen]:Cette apparence te convient-elle?,":[name=SirMalo]:Of course, PokémonSDK would never have reached this level without all the contributors who played their part!",":[name=SirMalo]:Of course, PokémonSDK would never have reached this level without all the contributors who played their part!",":[name=SirMalo]:Of course, PokémonSDK would never have reached this level without all the contributors who played their part!",":[name=SirMalo]:Of course, PokémonSDK would never have reached this level without all the contributors who played their part!",":[name=SirMalo]:Of course, PokémonSDK would never have reached this level without all the contributors who played their part!",":[name=SirMalo]:Of course, PokémonSDK would never have reached this level without all the contributors who played their part!"
Oui,":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with PokémonSDK ingame.",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with PokémonSDK ingame.",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with PokémonSDK ingame.",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with PokémonSDK ingame.",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with PokémonSDK ingame.",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with PokémonSDK ingame."
:[name=Chen]:Quel est ton nom?,":[name=SirMalo]:But it is also connected with Pokémon Studio, and it will let you see how these features are implemented.",":[name=SirMalo]:But it is also connected with Pokémon Studio, and it will let you see how these features are implemented.",":[name=SirMalo]:But it is also connected with Pokémon Studio, and it will let you see how these features are implemented.",":[name=SirMalo]:But it is also connected with Pokémon Studio, and it will let you see how these features are implemented.",":[name=SirMalo]:But it is also connected with Pokémon Studio, and it will let you see how these features are implemented.",":[name=SirMalo]:But it is also connected with Pokémon Studio, and it will let you see how these features are implemented."
:[name=Chen]:Très beau nom : l'ai-je bien écrit ?,":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on.",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on.",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on.",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on.",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on.",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on."
:[name=Chen]:Bien joué petit Gumpus !,":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there.",":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there.",":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there.",":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there.",":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there.",":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there."
:[name=Chen]:Tu peux maintenant tester la démo de Pokemon Secret,":[name=SirMalo]:But before you leave, I have to ask you for some information.",":[name=SirMalo]:But before you leave, I have to ask you for some information.",":[name=SirMalo]:But before you leave, I have to ask you for some information.",":[name=SirMalo]:But before you leave, I have to ask you for some information.",":[name=SirMalo]:But before you leave, I have to ask you for some information.",":[name=SirMalo]:But before you leave, I have to ask you for some information."
:[name=Chen]:Amuse toi bien !,:[name=SirMalo]:Do you know how to change your controls?,:[name=SirMalo]:Do you know how to change your controls?,:[name=SirMalo]:Do you know how to change your controls?,:[name=SirMalo]:Do you know how to change your controls?,:[name=SirMalo]:Do you know how to change your controls?,:[name=SirMalo]:Do you know how to change your controls?
