Index,en,fr,es,it,de,ko,kana
0,That's a bad news you're telling me there... All my condolences...,C'est une bien triste nouvelle ce que vous me racontez là... Toutes mes condoléances...,Son malas noticas las que me estás contando... Te doy mis condolencias...,That's a bad news you're telling me there... All my condolences...,That's a bad news you're telling me there... All my condolences...,That's a bad news you're telling me there... All my condolences...,That's a bad news you're telling me there... All my condolences...
1,Fortunately your PC still contains some Pokémon. You can continue your adventure.,Heureusement votre PC contient encore quelques Pokémon. Vous pouvez continuer votre aventure.,Por suerte tu PC sigue conteniendo Pokémon. Puedes continuar con tu aventura.,Fortunately your PC still contains some Pokémon. You can continue your adventure.,Fortunately your PC still contains some Pokémon. You can continue your adventure.,Fortunately your PC still contains some Pokémon. You can continue your adventure.,Fortunately your PC still contains some Pokémon. You can continue your adventure.
2,\p[1] is poisoned. He should be given an antidote.,"\p[1] est empoisonné, il faudrait lui donner un antidote.",\p[1] está envenenado. Deberías darle un antídoto.,\p[1] is poisoned. He should be given an antidote.,\p[1] is poisoned. He should be given an antidote.,\p[1] is poisoned. He should be given an antidote.,\p[1] is poisoned. He should be given an antidote.
3,\n[1] gets on the bike.,\n[1] monte sur la bicyclette.,\n[1] se sube en la bicicleta.,\n[1] gets on the bike.,\n[1] gets on the bike.,\n[1] gets on the bike.,\n[1] gets on the bike.
4,There is nothing here...,Il n'y a rien ici...,No hay nada por aquí...,There is nothing here...,There is nothing here...,There is nothing here...,There is nothing here...
5,[VAR PKNICK(0000)] uses Headbutt.,[VAR PKNICK(0000)] utilise Coup d'Boule.,[VAR PKNICK(0000)] usa Golpe Cabeza.,[VAR PKNICK(0000)] uses Headbutt.,[VAR PKNICK(0000)] uses Headbutt.,[VAR PKNICK(0000)] uses Headbutt.,[VAR PKNICK(0000)] uses Headbutt.
6,A Pokémon might shake this tree...,Un Pokémon pourrait secouer cette arbre...,Hay un árbol imponente al que puedes asestar un cabezazo.,A Pokémon might shake this tree...,A Pokémon might shake this tree...,A Pokémon might shake this tree...,A Pokémon might shake this tree...
7,It's a huge swirl of water. Would you like to use Whirlpool?,Quel énorme tourbillon ! Voulez-vous utiliser Siphon ?,¡Hay un remolino muy grande!\n¿Quieres usa Torbellino?,It's a huge swirl of water. Would you like to use Whirlpool?,It's a huge swirl of water. Would you like to use Whirlpool?,It's a huge swirl of water. Would you like to use Whirlpool?,It's a huge swirl of water. Would you like to use Whirlpool?
8,The water is swirling and spinning around with a mighty roar.,L'eau tourbillonne dans un vacarme assourdissant.,El agua gira y se arremolina emitiendo un sonido atronador.,The water is swirling and spinning around with a mighty roar.,The water is swirling and spinning around with a mighty roar.,The water is swirling and spinning around with a mighty roar.,The water is swirling and spinning around with a mighty roar.
9,Do you want to use Rock Climb?,Voulez-vous utiliser Escalade ?,¿Quieres usar Treparrocas?,Do you want to use Rock Climb?,Do you want to use Rock Climb?,Do you want to use Rock Climb?,Do you want to use Rock Climb?
